FIPS,2014 DR,2015 DR,2016 DR,2017 DR,2018 DR,2019 DR,2020 DR
35031,22.9,23.1,22.6,20.8,18.9,13.4,13.0
35033,-9.0,-9.0,-9.0,-9.0,-9.0,4.1,2.0
35035,62.4,63.6,55.9,49.9,43.7,30.7,33.1
35037,110.1,103.9,86.8,76.9,67.1,43.9,43.8
35039,93.7,90.2,83.0,75.5,68.0,30.8,33.4
35041,28.1,26.3,27.0,24.5,17.1,27.6,27.4
35043,57.4,57.1,54.6,48.1,42.0,23.2,21.6
35045,66.1,68.2,67.9,53.2,45.5,35.1,32.9
35047,85.0,74.6,68.8,55.8,49.4,35.6,30.7
35049,90.4,89.8,82.0,72.4,62.5,53.1,49.5
35051,115.0,98.2,91.6,75.9,68.5,36.0,24.0
35053,83.9,85.1,59.3,49.4,57.5,43.5,43.4
35055,96.6,90.3,85.8,72.1,61.0,63.6,62.5
35057,27.8,28.4,26.0,19.6,17.3,3.0,6.6
35059,56.4,50.0,44.7,38.8,39.5,48.9,45.8
35061,90.2,86.1,79.6,70.2,61.0,22.7,19.1
36001,51.5,50.3,46.6,42.6,37.7,64.2,57.5
36003,59.2,60.1,58.8,54.1,47.3,30.7,27.9
36005,32.5,32.2,30.7,26.7,23.1,21.0,18.7
36007,71.6,70.7,69.6,63.5,55.7,59.7,55.6
36009,79.6,79.7,73.4,65.5,57.6,38.9,36.9
36011,34.1,50.8,49.3,46.1,41.4,26.1,24.3
36013,81.7,80.9,72.6,62.8,54.4,43.9,41.9
36015,101.8,97.9,84.6,73.0,67.0,68.0,67.5
36017,55.7,56.5,52.6,51.7,43.2,29.2,25.2
36019,44.4,74.2,76.9,74.6,66.5,70.7,67.5
36021,61.3,63.1,61.5,58.6,49.9,38.4,35.9
36023,43.3,60.6,59.4,58.1,50.0,21.3,20.0
36025,72.7,69.9,66.3,53.7,44.9,19.9,17.8
36027,57.7,58.0,55.6,50.2,46.6,35.5,32.4
36029,73.7,73.2,67.0,59.7,53.2,61.4,58.2
36031,29.0,45.4,46.8,45.4,40.8,35.0,32.7
36033,26.7,63.0,67.7,64.3,57.1,35.6,32.1
36035,70.7,73.5,69.1,64.5,57.4,37.0,34.0
36037,59.8,58.9,54.9,49.6,43.6,51.4,44.1
36039,70.4,68.0,64.6,60.1,53.8,20.8,18.3
36041,-9.0,-9.0,-9.0,-9.0,-9.0,25.7,27.6
36043,34.9,48.6,49.9,45.1,38.4,19.2,17.5
36045,27.3,56.0,59.4,55.4,50.9,54.0,49.0
36047,24.4,24.7,23.3,20.6,18.2,17.1,14.6
36049,20.3,36.3,41.0,36.6,30.4,23.8,21.8
36051,48.4,48.9,49.2,47.2,41.0,43.6,40.2
36053,45.5,60.5,59.5,53.3,48.8,45.7,43.0
36055,51.9,52.3,49.1,43.1,37.8,42.9,40.2
36057,78.4,84.6,81.5,75.9,68.2,52.4,50.7
36059,44.6,44.1,40.7,36.6,32.3,43.1,41.3
36061,42.7,42.0,39.3,34.1,29.8,63.2,56.3
36063,80.8,81.2,76.2,66.2,58.1,27.7,27.2
36065,58.7,64.2,61.8,55.9,47.8,41.8,39.6
36067,46.2,57.7,55.8,50.7,46.9,66.0,59.5
36069,56.1,55.2,51.6,45.5,40.3,36.5,36.5
36071,61.4,61.8,58.6,52.3,44.7,34.8,29.0
36073,57.2,56.4,49.9,48.7,42.4,22.6,21.2
36075,44.8,57.9,58.0,54.5,48.7,24.1,22.5
36077,52.3,56.9,56.5,54.2,50.7,53.2,47.7
36079,41.7,41.8,41.0,38.9,34.4,28.7,25.1
36081,25.6,26.0,23.9,21.0,18.6,14.0,12.7
36083,59.3,60.0,57.6,53.2,47.6,30.1,28.0
36085,49.1,48.9,44.8,40.2,35.8,30.6,26.6
36087,35.3,35.1,34.6,31.4,28.1,29.5,27.5
36089,26.9,61.8,69.9,66.4,59.6,43.6,38.3
36091,52.9,53.5,51.1,45.2,39.1,32.6,32.2
36093,56.7,57.0,53.5,49.5,43.4,33.2,29.2
36095,49.2,50.6,47.7,51.5,45.6,35.3,30.2
36097,62.2,60.9,57.9,54.3,51.6,40.0,37.7
36099,27.1,44.1,45.4,44.6,40.1,23.9,23.0
36101,69.1,71.2,67.2,61.6,55.2,36.6,35.0
36103,54.7,53.7,51.3,46.3,41.9,33.0,29.9
36105,79.8,71.0,70.2,66.9,59.0,63.3,71.9
36107,42.2,42.5,43.4,39.8,32.5,20.0,19.2
36109,42.5,53.8,52.6,49.7,43.3,48.1,49.8
36111,66.4,68.5,67.6,59.2,53.2,37.6,34.8
36113,80.0,86.8,82.9,81.3,74.1,73.7,72.1
36115,66.2,68.5,66.2,59.8,53.6,26.6,24.1
36117,54.3,59.2,54.3,47.7,42.4,15.8,13.7
36119,36.9,37.0,35.0,31.3,28.3,27.4,24.7
36121,53.7,54.2,51.5,46.5,43.3,25.8,27.0
36123,39.0,37.8,33.5,30.1,26.2,17.6,16.3
37001,96.0,87.6,82.9,74.0,63.6,34.2,31.5
37003,33.6,29.0,25.4,21.4,17.0,6.0,7.1
37005,103.2,101.2,85.3,77.4,69.3,39.9,41.4
37007,91.3,86.9,77.1,72.6,65.2,8.4,6.2
37009,110.3,106.0,103.3,95.3,77.8,46.2,45.2
37011,95.1,89.4,82.9,72.7,65.8,36.2,32.4
37013,141.3,143.4,141.0,131.2,110.9,51.3,46.5
37015,65.0,64.8,51.6,24.6,0.0,49.7,59.5
37017,114.8,118.3,114.3,105.8,96.9,33.0,31.1
37019,123.7,116.8,110.7,96.4,81.2,38.7,39.4
37021,95.6,88.5,80.8,71.7,58.7,76.4,73.5
37023,159.3,154.9,151.5,124.8,101.2,67.0,61.4
37025,110.3,101.4,95.2,83.3,69.4,59.9,48.7
37027,148.9,140.7,135.6,119.9,106.5,56.4,52.4
37029,-9.0,-9.0,-9.0,-9.0,6.4,0.2,0.0
37031,119.1,114.1,101.2,86.6,75.4,62.6,62.8
37033,15.2,14.1,12.6,7.7,0.0,4.8,3.5
37035,142.6,133.5,129.2,114.9,98.2,108.2,104.6
37037,47.9,43.7,43.4,38.0,32.2,14.3,12.8
37039,125.8,111.3,125.0,118.6,107.5,64.3,74.1
37041,113.1,108.6,111.5,105.8,98.6,55.1,42.6
37043,133.9,139.8,120.2,119.1,109.1,33.2,32.6
37045,148.5,139.0,128.0,117.1,104.0,118.4,112.2
37047,198.0,189.1,177.8,139.0,118.7,76.8,73.8
37049,129.0,128.6,110.8,97.7,84.6,75.2,75.6
37051,96.5,96.6,86.0,76.1,67.9,66.0,64.3
37053,21.3,19.8,19.0,15.1,12.6,12.0,11.6
37055,132.3,118.3,107.6,99.1,87.4,76.0,68.8
37057,84.5,78.1,80.4,70.1,60.0,31.2,24.9
37059,120.9,112.5,95.5,89.3,75.4,27.5,30.1
37061,90.9,80.3,78.1,69.4,54.4,28.7,25.3
37063,57.8,54.4,49.1,41.4,34.4,74.1,68.2
37065,55.5,54.7,78.2,71.1,61.2,27.7,26.0
37067,92.6,83.9,76.0,65.4,55.9,101.6,95.3
37069,67.5,62.9,56.6,47.9,41.4,13.6,12.8
37071,138.1,126.6,119.0,102.1,88.3,68.8,65.9
37073,3.0,3.0,2.3,0.6,-9.0,2.8,2.7
37075,111.2,114.8,101.8,89.1,80.6,8.2,7.5
37077,87.6,85.9,79.7,62.6,52.9,24.1,24.1
37079,34.0,34.6,28.2,28.0,23.8,20.7,22.4
37081,88.9,84.0,74.5,65.3,56.1,61.3,55.9
37083,128.0,123.0,116.0,104.6,92.1,51.0,50.1
37085,93.7,86.5,79.8,72.3,59.1,48.6,47.3
37087,111.6,105.2,102.7,92.7,80.1,61.5,61.3
37089,94.0,89.7,84.2,73.5,61.1,39.6,36.5
37091,139.6,132.9,136.4,122.1,104.2,67.8,59.2
37093,66.5,60.2,61.2,55.9,35.8,17.2,14.7
37095,52.7,68.5,64.1,58.7,49.9,1.9,2.7
37097,116.4,108.8,102.0,91.1,77.8,75.1,74.4
37099,109.9,101.4,91.7,81.0,68.1,41.3,37.8
37101,74.8,73.6,70.2,60.9,49.0,36.9,35.3
37103,5.3,5.4,24.2,36.3,41.7,14.0,8.1
37105,130.6,119.9,129.6,113.9,96.7,58.7,56.1
37107,91.8,82.7,88.2,81.9,67.1,47.8,42.8
37109,130.6,123.5,115.7,99.2,84.0,40.5,34.2
37111,97.6,92.7,87.4,77.6,60.3,35.5,42.4
37113,107.1,93.8,91.1,83.1,73.2,31.1,22.4
37115,63.3,60.9,58.8,51.6,42.8,12.0,11.0
37117,93.5,82.3,102.1,98.8,84.9,34.4,23.9
37119,63.7,59.7,54.4,47.1,39.9,57.3,51.3
